Area,time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
San Pablo Bay,2000-01,10.39,21.305,9.2,88.0
South Bay,2000-01,11.01,29.255000000000003,8.3,87.0
Suisun Bay,2000-01,9.93,6.095000000000001,10.4,89.0
San Pablo Bay,2000-02,11.74,14.36,10.05,89.0
South Bay,2000-02,12.32,21.1,9.6,91.0
Suisun Bay,2000-02,11.105,0.13,10.7,85.0
San Pablo Bay,2000-03,11.545,2.56,11.0,84.5
South Bay,2000-03,13.495000000000001,15.895,10.1,93.0
Suisun Bay,2000-03,11.435,0.08,11.1,83.0
San Pablo Bay,2000-04,14.13,15.61,8.8,94.0
South Bay,2000-04,15.98,21.75,9.0,98.0
Suisun Bay,2000-04,15.7,1.345,9.4,95.0
San Pablo Bay,2000-05,15.175,16.52,8.8,84.0
South Bay,2000-05,16.32,24.0,8.5,91.5
Suisun Bay,2000-05,16.49,0.52,10.1,89.0
San Pablo Bay,2000-06,18.020000000000003,20.215,8.4,89.0
South Bay,2000-06,19.13,26.71,8.05,92.0
Suisun Bay,2000-06,20.36,1.4849999999999999,9.350000000000001,92.5
San Pablo Bay,2000-07,18.485,22.87,7.3,91.0
South Bay,2000-07,19.924999999999997,28.2,6.9,91.0
Suisun Bay,2000-07,20.435000000000002,3.435,8.0,93.0
San Pablo Bay,2000-08,18.939999999999998,23.28,7.5,90.0
South Bay,2000-08,20.345,28.725,7.1,91.0
Suisun Bay,2000-08,21.814999999999998,1.32,8.4,92.0
San Pablo Bay,2000-09,18.165,23.41,7.9,80.0
South Bay,2000-09,19.225,29.67,7.5,83.0
Suisun Bay,2000-09,19.384999999999998,2.02,8.7,80.0
San Pablo Bay,2000-10,17.615000000000002,26.255,7.25,88.0
South Bay,2000-10,17.985,30.08,6.5,75.5
Suisun Bay,2000-10,17.97,7.84,8.25,90.0
San Pablo Bay,2000-11,14.53,26.625,8.1,89.0
South Bay,2000-11,14.65,29.59,8.3,92.0
Suisun Bay,2000-11,14.945,6.505,9.2,89.0
San Pablo Bay,2000-12,11.46,28.365000000000002,8.0,88.0
South Bay,2000-12,12.15,29.485,8.4,93.0
Suisun Bay,2000-12,11.135000000000002,16.505,8.95,89.0
San Pablo Bay,2001-02,10.635000000000002,20.615000000000002,9.7,92.5
South Bay,2001-02,10.705,27.55,8.8,92.0
Suisun Bay,2001-02,10.37,4.705,10.649999999999999,90.5
San Pablo Bay,2001-03,15.13,13.26,8.3,92.0
South Bay,2001-03,13.120000000000001,25.455,8.8,95.0
Suisun Bay,2001-03,16.1,0.8300000000000001,9.0,91.0
San Pablo Bay,2001-04,14.94,17.57,9.100000000000001,98.5
South Bay,2001-04,13.81,25.0,8.6,94.0
Suisun Bay,2001-04,16.5,2.2,9.3,94.0
San Pablo Bay,2001-05,19.0,20.64,14.8,90.0
South Bay,2001-05,18.625,28.67,13.5,86.5
Suisun Bay,2001-05,20.07,8.14,15.6,89.0
San Pablo Bay,2001-06,20.005000000000003,22.67,8.7,92.0
South Bay,2001-06,20.985,28.76,8.0,93.0
Suisun Bay,2001-06,22.299999999999997,5.04,9.3,93.0
San Pablo Bay,2001-07,18.75,25.685000000000002,8.6,96.5
South Bay,2001-07,20.275,29.86,7.7,91.0
Suisun Bay,2001-07,20.42,6.655,9.05,94.0
San Pablo Bay,2001-09,18.634999999999998,26.744999999999997,8.3,96.0
South Bay,2001-09,20.085,31.33,7.6,88.0
Suisun Bay,2001-09,20.4,7.66,9.1,96.5
San Pablo Bay,2001-10,18.0,25.42,8.25,94.5
South Bay,2001-10,18.69,31.494999999999997,6.7,82.0
Suisun Bay,2001-10,18.59,10.545,8.9,95.0
San Pablo Bay,2001-11,13.774999999999999,26.515,9.1,90.0
South Bay,2001-11,13.88,30.59,8.6,88.0
Suisun Bay,2001-11,14.065000000000001,6.359999999999999,10.2,88.0
South Bay,2001-12,11.08,28.009999999999998,9.3,89.0
San Pablo Bay,2002-01,10.19,18.64,9.5,92.0
South Bay,2002-01,10.23,23.58,9.3,94.0
Suisun Bay,2002-01,8.885000000000002,0.16,10.5,88.0
South Bay,2002-02,10.51,24.54,3.3,91.0
San Pablo Bay,2002-03,11.785,12.82,9.6,93.0
South Bay,2002-03,13.41,25.61,9.6,103.0
Suisun Bay,2002-03,11.75,0.14,10.5,94.0
San Pablo Bay,2002-04,15.64,15.540000000000001,8.7,93.0
South Bay,2002-04,15.47,26.13,7.7,88.0
Suisun Bay,2002-04,16.43,0.7150000000000001,9.5,94.0
San Pablo Bay,2002-05,15.425,22.5,8.6,97.5
South Bay,2002-05,15.95,26.75,7.8,92.0
Suisun Bay,2002-05,16.51,3.435,9.55,99.0
San Pablo Bay,2002-06,18.295,16.47,8.2,96.0
South Bay,2002-06,18.56,27.895000000000003,7.2,91.0
Suisun Bay,2002-06,20.1,1.44,8.6,95.0
San Pablo Bay,2002-07,19.32,22.925,7.8,102.0
South Bay,2002-07,21.1,29.53,6.8,98.0
Suisun Bay,2002-07,21.75,5.0649999999999995,8.350000000000001,103.5
San Pablo Bay,2002-08,18.979999999999997,26.615000000000002,7.65,93.0
South Bay,2002-08,20.89,30.62,6.8,88.0
Suisun Bay,2002-08,19.42,9.465,8.6,95.0
San Pablo Bay,2002-09,19.490000000000002,23.995,7.7,93.0
South Bay,2002-09,20.41,31.06,6.4,85.0
Suisun Bay,2002-09,20.275,7.955,8.3,94.0
San Pablo Bay,2002-10,18.36,26.775,7.45,90.0
South Bay,2002-10,19.51,31.23,6.6,84.0
Suisun Bay,2002-10,19.244999999999997,12.165,8.25,92.0
San Pablo Bay,2002-11,15.14,24.119999999999997,8.3,91.0
South Bay,2002-11,15.7,30.515,7.7,88.0
Suisun Bay,2002-11,15.25,8.04,8.8,89.0
San Pablo Bay,2002-12,12.7,25.345,8.6,90.0
South Bay,2002-12,13.76,30.31,7.6,84.0
Suisun Bay,2002-12,12.375,10.155000000000001,9.2,88.0
San Pablo Bay,2003-01,10.504999999999999,10.219999999999999,9.8,90.5
South Bay,2003-01,11.41,23.8,8.8,94.0
Suisun Bay,2003-01,9.59,0.1,9.7,82.0
San Pablo Bay,2003-02,12.33,18.765,9.1,87.0
South Bay,2003-02,12.745000000000001,22.675,9.7,99.0
Suisun Bay,2003-02,11.125,1.2650000000000001,10.3,89.0
San Pablo Bay,2003-03,14.19,20.625,8.8,88.0
South Bay,2003-03,14.305,23.655,8.9,108.0
Suisun Bay,2003-03,14.39,2.915,9.8,91.5
San Pablo Bay,2003-04,14.34,16.115000000000002,8.8,89.0
South Bay,2003-04,14.88,24.93,7.8,86.0
Suisun Bay,2003-04,15.09,0.265,9.8,94.0
San Pablo Bay,2003-05,17.34,9.01,7.9,83.0
South Bay,2003-05,16.23,24.07,7.5,85.0
Suisun Bay,2003-05,18.52,0.07,8.850000000000001,89.0
San Pablo Bay,2003-06,18.52,12.84,8.1,88.0
South Bay,2003-06,19.16,24.68,6.9,84.0
Suisun Bay,2003-06,20.175,0.34500000000000003,8.649999999999999,89.0
San Pablo Bay,2003-07,20.425,19.689999999999998,7.3,87.0
South Bay,2003-07,21.37,26.405,6.5,84.0
Suisun Bay,2003-07,22.205,3.48,8.2,90.0
San Pablo Bay,2003-08,20.92,19.63,7.3,88.0
South Bay,2003-08,21.7,28.63,6.8,90.0
Suisun Bay,2003-08,21.235,3.325,8.3,91.0
San Pablo Bay,2003-09,19.515,24.895,7.25,90.0
South Bay,2003-09,20.91,29.26,6.8,92.0
Suisun Bay,2003-09,20.14,8.129999999999999,8.25,92.0
San Pablo Bay,2003-10,17.494999999999997,26.875,7.8,91.0
South Bay,2003-10,18.13,29.82,7.5,91.0
Suisun Bay,2003-10,18.31,12.18,8.5,93.0
San Pablo Bay,2003-11,14.17,25.56,8.2,97.0
South Bay,2003-11,14.94,30.1,7.8,95.0
Suisun Bay,2003-11,14.54,9.780000000000001,8.9,96.0
San Pablo Bay,2003-12,11.295,20.665,9.1,94.5
South Bay,2003-12,12.01,29.1,8.3,93.0
Suisun Bay,2003-12,10.91,3.735,9.9,91.0
San Pablo Bay,2004-01,10.105,12.775,9.7,91.0
South Bay,2004-01,10.885000000000002,24.335,8.7,92.0
Suisun Bay,2004-01,9.05,0.09,10.3,86.0
San Pablo Bay,2004-02,11.0,14.83,9.45,91.5
South Bay,2004-02,11.74,23.21,9.0,93.0
Suisun Bay,2004-02,9.95,0.15,10.7,90.0
San Pablo Bay,2004-03,12.49,7.755,9.4,91.0
South Bay,2004-03,15.635000000000002,17.79,9.2,103.0
Suisun Bay,2004-03,12.485,0.07,9.9,90.0
San Pablo Bay,2004-04,14.995000000000001,12.31,8.7,92.0
South Bay,2004-04,15.84,22.705,8.0,92.0
Suisun Bay,2004-04,15.48,0.125,9.7,95.0
San Pablo Bay,2004-05,17.92,18.810000000000002,7.9,92.0
South Bay,2004-05,17.68,24.58,7.5,90.0
Suisun Bay,2004-05,18.695,2.21,8.75,94.0
San Pablo Bay,2004-06,19.240000000000002,20.994999999999997,7.6,91.0
South Bay,2004-06,20.03,27.34,7.0,88.0
Suisun Bay,2004-06,20.615000000000002,6.635,8.5,94.0
San Pablo Bay,2004-07,19.945,25.335,7.6,98.0
South Bay,2004-07,22.15,29.65,6.8,92.0
Suisun Bay,2004-07,21.705,8.02,8.25,101.0
San Pablo Bay,2004-08,19.85,25.955,7.5,96.0
South Bay,2004-08,21.87,30.54,6.9,94.0
Suisun Bay,2004-08,21.175,8.01,8.3,98.0
San Pablo Bay,2004-09,20.765,25.04,8.0,103.0
South Bay,2004-09,22.25,30.85,6.5,91.0
Suisun Bay,2004-09,21.735,9.465,7.8,96.0
South Bay,2004-10,18.6,31.04,6.9,92.0
San Pablo Bay,2004-11,15.245000000000001,24.88,7.8,92.0
South Bay,2004-11,15.89,30.130000000000003,7.2,90.0
Suisun Bay,2004-11,16.5275,10.067499999999999,8.425,92.5
San Pablo Bay,2004-12,12.225,25.380000000000003,8.1,90.0
South Bay,2004-12,12.33,29.29,7.5,86.0
Suisun Bay,2004-12,11.32,10.67,9.05,89.0
San Pablo Bay,2005-01,10.685,20.990000000000002,8.7,91.0
South Bay,2005-01,10.79,26.1,8.2,90.0
Suisun Bay,2005-01,9.3,2.25,9.6,86.0
San Pablo Bay,2005-02,13.08,21.08,7.95,90.0
South Bay,2005-02,13.1,24.060000000000002,7.8,90.0
Suisun Bay,2005-02,12.815000000000001,2.23,8.8,90.0
San Pablo Bay,2005-03,14.725000000000001,19.665,7.4,91.0
South Bay,2005-03,15.35,23.23,7.0,90.0
Suisun Bay,2005-03,15.2,2.86,7.9,89.0
San Pablo Bay,2005-04,14.78,8.32,7.2,89.0
South Bay,2005-04,15.12,20.1,6.6,90.0
Suisun Bay,2005-04,15.145,0.10500000000000001,7.7,91.0
San Pablo Bay,2005-05,16.625,11.385,6.4,89.0
South Bay,2005-05,16.93,22.96,6.0,89.0
Suisun Bay,2005-05,17.535,0.17,7.0,92.0
San Pablo Bay,2005-06,17.990000000000002,15.875,6.0,87.0
South Bay,2005-06,19.47,23.33,5.7,90.0
Suisun Bay,2005-06,19.475,0.405,6.8,91.0
South Bay,2005-08,20.1,28.22,7.3,97.0
San Pablo Bay,2005-09,19.28,22.520000000000003,7.4,90.0
