Area,time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
San Pablo Bay,2000-01,0.497,0.727,0.622,0.854
South Bay,2000-01,0.494,0.909,0.615,0.770
Suisun Bay,2000-01,0.445,0.351,0.667,0.860
San Pablo Bay,2000-02,0.561,0.490,0.679,0.864
South Bay,2000-02,0.552,0.656,0.711,0.805
Suisun Bay,2000-02,0.498,0.007,0.686,0.821
San Pablo Bay,2000-03,0.552,0.087,0.743,0.820
South Bay,2000-03,0.605,0.494,0.748,0.823
Suisun Bay,2000-03,0.513,0.005,0.712,0.802
San Pablo Bay,2000-04,0.675,0.533,0.595,0.913
South Bay,2000-04,0.716,0.676,0.667,0.867
Suisun Bay,2000-04,0.704,0.078,0.603,0.918
San Pablo Bay,2000-05,0.725,0.564,0.595,0.816
South Bay,2000-05,0.732,0.746,0.630,0.810
Suisun Bay,2000-05,0.739,0.030,0.647,0.860
San Pablo Bay,2000-06,0.861,0.690,0.568,0.864
South Bay,2000-06,0.858,0.830,0.596,0.814
Suisun Bay,2000-06,0.913,0.086,0.599,0.894
San Pablo Bay,2000-07,0.884,0.780,0.493,0.883
South Bay,2000-07,0.893,0.876,0.511,0.805
Suisun Bay,2000-07,0.916,0.198,0.513,0.899
San Pablo Bay,2000-08,0.905,0.794,0.507,0.874
South Bay,2000-08,0.912,0.893,0.526,0.805
Suisun Bay,2000-08,0.978,0.076,0.538,0.889
San Pablo Bay,2000-09,0.868,0.799,0.534,0.777
South Bay,2000-09,0.862,0.922,0.556,0.735
Suisun Bay,2000-09,0.869,0.116,0.558,0.773
San Pablo Bay,2000-10,0.842,0.896,0.490,0.854
South Bay,2000-10,0.806,0.935,0.481,0.668
Suisun Bay,2000-10,0.806,0.452,0.529,0.870
San Pablo Bay,2000-11,0.695,0.909,0.547,0.864
South Bay,2000-11,0.657,0.920,0.615,0.814
Suisun Bay,2000-11,0.670,0.375,0.590,0.860
San Pablo Bay,2000-12,0.548,0.968,0.541,0.854
South Bay,2000-12,0.545,0.916,0.622,0.823
Suisun Bay,2000-12,0.499,0.951,0.574,0.860
San Pablo Bay,2001-02,0.508,0.703,0.655,0.898
South Bay,2001-02,0.480,0.856,0.652,0.814
Suisun Bay,2001-02,0.465,0.271,0.683,0.874
San Pablo Bay,2001-03,0.723,0.452,0.561,0.893
South Bay,2001-03,0.588,0.791,0.652,0.841
Suisun Bay,2001-03,0.722,0.048,0.577,0.879
San Pablo Bay,2001-04,0.714,0.600,0.615,0.956
South Bay,2001-04,0.619,0.777,0.637,0.832
Suisun Bay,2001-04,0.740,0.127,0.596,0.908
San Pablo Bay,2001-05,0.908,0.704,1.000,0.874
