time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
2000-01,10.39,21.305,9.2,88.0
2000-02,11.74,14.36,10.05,89.0
2000-03,11.545,2.56,11.0,84.5
2000-04,14.13,15.61,8.8,94.0
2000-05,15.175,16.52,8.8,84.0
2000-06,18.020000000000003,20.215,8.4,89.0
2000-07,18.485,22.87,7.3,91.0
2000-08,18.939999999999998,23.28,7.5,90.0
2000-09,18.165,23.41,7.9,80.0
2000-10,17.615000000000002,26.255,7.25,88.0
2000-11,14.53,26.625,8.1,89.0
2000-12,11.46,28.365000000000002,8.0,88.0
2001-02,10.635000000000002,20.615000000000002,9.7,92.5
2001-03,15.13,13.26,8.3,92.0
2001-04,14.94,17.57,9.100000000000001,98.5
2001-05,19.0,20.64,14.8,90.0
2001-06,20.005000000000003,22.67,8.7,92.0
2001-07,18.75,25.685000000000002,8.6,96.5
2001-09,18.634999999999998,26.744999999999997,8.3,96.0
2001-10,18.0,25.42,8.25,94.5
2001-11,13.774999999999999,26.515,9.1,90.0
2002-01,10.19,18.64,9.5,92.0
2002-03,11.785,12.82,9.6,93.0
2002-04,15.64,15.540000000000001,8.7,93.0
2002-05,15.425,22.5,8.6,97.5
2002-06,18.295,16.47,8.2,96.0
2002-07,19.32,22.925,7.8,102.0
2002-08,18.979999999999997,26.615000000000002,7.65,93.0
2002-09,19.490000000000002,23.995,7.7,93.0
2002-10,18.36,26.775,7.45,90.0
2002-11,15.14,24.119999999999997,8.3,91.0
2002-12,12.7,25.345,8.6,90.0
2003-01,10.504999999999999,10.219999999999999,9.8,90.5
2003-02,12.33,18.765,9.1,87.0
2003-03,14.19,20.625,8.8,88.0
2003-04,14.34,16.115000000000002,8.8,89.0
2003-05,17.34,9.01,7.9,83.0
2003-06,18.52,12.84,8.1,88.0
2003-07,20.425,19.689999999999998,7.3,87.0
2003-08,20.92,19.63,7.3,88.0
2003-09,19.515,24.895,7.25,90.0
2003-10,17.494999999999997,26.875,7.8,91.0
2003-11,14.17,25.56,8.2,97.0
2003-12,11.295,20.665,9.1,94.5
2004-01,10.105,12.775,9.7,91.0
2004-02,11.0,14.83,9.45,91.5
2004-03,12.49,7.755,9.4,91.0
2004-04,14.995000000000001,12.31,8.7,92.0
2004-05,17.92,18.810000000000002,7.9,92.0
2004-06,19.240000000000002,20.994999999999997,7.6,91.0
2004-07,19.945,25.335,7.6,98.0
2004-08,19.85,25.955,7.5,96.0
2004-09,20.765,25.04,8.0,103.0
