time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
2000-01,11.01,29.255000000000003,8.3,87.0
2000-02,12.32,21.1,9.6,91.0
2000-03,13.495000000000001,15.895,10.1,93.0
2000-04,15.98,21.75,9.0,98.0
2000-05,16.32,24.0,8.5,91.5
2000-06,19.13,26.71,8.05,92.0
2000-07,19.924999999999997,28.2,6.9,91.0
2000-08,20.345,28.725,7.1,91.0
2000-09,19.225,29.67,7.5,83.0
2000-10,17.985,30.08,6.5,75.5
2000-11,14.65,29.59,8.3,92.0
2000-12,12.15,29.485,8.4,93.0
2001-02,10.705,27.55,8.8,92.0
2001-03,13.120000000000001,25.455,8.8,95.0
2001-04,13.81,25.0,8.6,94.0
2001-05,18.625,28.67,13.5,86.5
2001-06,20.985,28.76,8.0,93.0
2001-07,20.275,29.86,7.7,91.0
2001-09,20.085,31.33,7.6,88.0
2001-10,18.69,31.494999999999997,6.7,82.0
2001-11,13.88,30.59,8.6,88.0
2001-12,11.08,28.009999999999998,9.3,89.0
2002-01,10.23,23.58,9.3,94.0
2002-02,10.51,24.54,3.3,91.0
2002-03,13.41,25.61,9.6,103.0
2002-04,15.47,26.13,7.7,88.0
2002-05,15.95,26.75,7.8,92.0
2002-06,18.56,27.895000000000003,7.2,91.0
2002-07,21.1,29.53,6.8,98.0
2002-08,20.89,30.62,6.8,88.0
2002-09,20.41,31.06,6.4,85.0
2002-10,19.51,31.23,6.6,84.0
2002-11,15.7,30.515,7.7,88.0
2002-12,13.76,30.31,7.6,84.0
2003-01,11.41,23.8,8.8,94.0
2003-02,12.745000000000001,22.675,9.7,99.0
2003-03,14.305,23.655,8.9,108.0
2003-04,14.88,24.93,7.8,86.0
2003-05,16.23,24.07,7.5,85.0
2003-06,19.16,24.68,6.9,84.0
2003-07,21.37,26.405,6.5,84.0
2003-08,21.7,28.63,6.8,90.0
2003-09,20.91,29.26,6.8,92.0
2003-10,18.13,29.82,7.5,91.0
2003-11,14.94,30.1,7.8,95.0
2003-12,12.01,29.1,8.3,93.0
2004-01,10.885000000000002,24.335,8.7,92.0
2004-02,11.74,23.21,9.0,93.0
2004-03,15.635000000000002,17.79,9.2,103.0
2004-04,15.84,22.705,8.0,92.0
2004-05,17.68,24.58,7.5,90.0
2004-06,20.03,27.34,7.0,88.0
2004-07,22.15,29.65,6.8,92.0
2004-08,21.87,30.54,6.9,94.0
2004-09,22.25,30.85,6.5,91.0
2004-10,18.6,31.04,6.9,92.0
2004-11,15.89,30.130000000000003,7.2,90.0
2004-12,12.33,29.29,7.5,86.0
2005-01,10.79,26.1,8.2,90.0
2005-02,13.1,24.060000000000002,7.8,90.0
2005-03,15.35,23.23,7.0,90.0
2005-04,15.12,20.1,6.6,90.0
2005-05,16.93,22.96,6.0,89.0
2005-06,19.47,23.33,5.7,90.0
2005-08,20.1,28.22,7.3,97.0
2005-09,19.55,28.2,6.9,89.0
2005-10,17.465,29.37,7.1,89.0
2005-11,15.7,29.57,7.5,92.0
2005-12,12.55,29.564999999999998,7.65,88.0
2006-01,11.915,13.325,8.649999999999999,89.0
2006-02,11.81,18.425,10.149999999999999,104.0
2006-03,11.83,17.35,9.0,90.0
2006-04,13.885000000000002,14.045,9.2,95.0
2006-05,17.27,13.915,7.85,88.0
2006-07,20.33,22.675,6.8,89.0
2006-08,21.08,26.32,6.8,88.0
2006-09,19.48,28.07,6.4,83.0
2006-10,16.985,28.725,7.0,86.0
2006-11,15.25,29.21,7.6,90.0
2006-12,12.09,28.92,8.0,90.0
2007-01,9.815000000000001,27.945,8.6,92.5
2007-02,10.79,27.88,8.4,90.0
2007-03,13.85,25.6,8.5,96.0
2007-04,14.67,25.865000000000002,7.8,91.0
2007-06,20.28,29.35,6.6,86.0
2007-07,21.575,30.63,6.7,93.0
2007-08,20.73,31.42,7.1,103.0
2007-09,19.0,31.71,6.4,88.0
2007-10,16.85,31.145000000000003,7.1,91.0
2007-11,15.72,30.76,6.8,86.0
2007-12,11.594999999999999,30.61,7.9,90.0
2008-01,9.71,28.625,8.4,92.0
2008-02,10.67,24.665,8.8,96.0
2008-03,13.75,24.07,8.5,99.0
2008-04,15.254999999999999,26.65,9.3,113.0
2008-05,16.79,28.37,6.8,86.0
2008-06,19.78,29.84,6.6,89.0
2008-07,22.305,30.65,6.0,87.0
2008-08,20.79,31.67,6.8,90.0
2008-09,20.92,32.09,6.4,85.0
2008-10,17.83,32.05,6.7,88.0
2008-11,15.93,31.33,7.1,87.0
2008-12,11.56,30.67,8.0,89.0
2009-01,10.38,29.79,8.3,90.0
2009-02,11.13,29.015,8.5,93.0
2009-03,12.79,24.93,8.5,93.0
2009-04,13.52,25.84,8.0,91.0
2009-05,15.915,27.58,7.4,91.0
2009-06,19.24,28.61,6.7,89.0
