time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
2000-01,9.93,6.095000000000001,10.4,89.0
2000-02,11.105,0.13,10.7,85.0
2000-03,11.435,0.08,11.1,83.0
2000-04,15.7,1.345,9.4,95.0
2000-05,16.49,0.52,10.1,89.0
2000-06,20.36,1.4849999999999999,9.350000000000001,92.5
2000-07,20.435000000000002,3.435,8.0,93.0
2000-08,21.814999999999998,1.32,8.4,92.0
2000-09,19.384999999999998,2.02,8.7,80.0
2000-10,17.97,7.84,8.25,90.0
2000-11,14.945,6.505,9.2,89.0
2000-12,11.135000000000002,16.505,8.95,89.0
2001-02,10.37,4.705,10.649999999999999,90.5
2001-03,16.1,0.8300000000000001,9.0,91.0
2001-04,16.5,2.2,9.3,94.0
2001-05,20.07,8.14,15.6,89.0
2001-06,22.299999999999997,5.04,9.3,93.0
2001-07,20.42,6.655,9.05,94.0
2001-09,20.4,7.66,9.1,96.5
2001-10,18.59,10.545,8.9,95.0
2001-11,14.065000000000001,6.359999999999999,10.2,88.0
2002-01,8.885000000000002,0.16,10.5,88.0
2002-03,11.75,0.14,10.5,94.0
2002-04,16.43,0.7150000000000001,9.5,94.0
2002-05,16.51,3.435,9.55,99.0
2002-06,20.1,1.44,8.6,95.0
2002-07,21.75,5.0649999999999995,8.350000000000001,103.5
2002-08,19.42,9.465,8.6,95.0
2002-09,20.275,7.955,8.3,94.0
2002-10,19.244999999999997,12.165,8.25,92.0
2002-11,15.25,8.04,8.8,89.0
2002-12,12.375,10.155000000000001,9.2,88.0
2003-01,9.59,0.1,9.7,82.0
2003-02,11.125,1.2650000000000001,10.3,89.0
2003-03,14.39,2.915,9.8,91.5
2003-04,15.09,0.265,9.8,94.0
2003-05,18.52,0.07,8.850000000000001,89.0
2003-06,20.175,0.34500000000000003,8.649999999999999,89.0
2003-07,22.205,3.48,8.2,90.0
2003-08,21.235,3.325,8.3,91.0
2003-09,20.14,8.129999999999999,8.25,92.0
2003-10,18.31,12.18,8.5,93.0
2003-11,14.54,9.780000000000001,8.9,96.0
2003-12,10.91,3.735,9.9,91.0
2004-01,9.05,0.09,10.3,86.0
2004-02,9.95,0.15,10.7,90.0
2004-03,12.485,0.07,9.9,90.0
2004-04,15.48,0.125,9.7,95.0
